balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
all,All,active,484412,3238589,248273159069455,484430,3207742,248011583624766,1250.38
all,All,all,2909714,10851423,1274996479244827,923808,4303344,489025356453691,1688.95
all,All,inactive,392720,1045674,56053123870231,392721,1045674,56053123870231,418.17
all,All,never_spent,2032582,6567160,970670196305141,46657,49928,184960648958694,20.41
all,Other,active,37,30886,261577047975,36,39,1603286,0.02
all,Other,all,5203,36257,261703605844,5202,5410,128161155,2.31
all,Other,never_spent,5166,5371,126557869,5166,5371,126557869,2.29
all,P2PK,active,111,937,32148336494,139,937,32148336494,0.35
all,P2PK,all,40599,41767,184864576994601,40650,41766,184864576994601,16.99
all,P2PK,inactive,11,11,28165000000,11,11,28165000000,0.00
all,P2PK,never_spent,40477,40819,184804263658107,40500,40818,184804263658107,16.64
all,P2PKH,active,483863,3205779,247540154177199,483875,3205779,247540154177199,1249.59
all,P2PKH,all,2850449,10755601,1088345342602875,877647,4255171,303717941106544,1669.22
all,P2PKH,inactive,392703,1045653,56021528186627,392704,1045653,56021528186627,418.16
all,P2PKH,never_spent,1973883,6504169,784783660239049,1068,3739,156258742718,1.48
all,P2SH,active,401,987,439279507787,413,987,439279507787,0.43
all,P2SH,all,13463,17798,1524856041507,420,997,442710191391,0.44
all,P2SH,inactive,6,10,3430683604,7,10,3430683604,0.00
all,P2SH,never_spent,13056,16801,1082145850116,0,0,0,0.00
ge1,All,active,59926,1348926,245089765523940,59944,1318079,244828190079251,507.57
ge1,All,all,309808,2549279,1263625468037336,107230,1510868,485270046144656,582.85
ge1,All,inactive,10101,153931,55515317505022,10102,153931,55515317505022,59.41
ge1,All,never_spent,239781,1046422,963020385008374,37184,38858,184926538560383,15.86
ge1,Other,active,1,30847,261575444689,0,0,0,0.00
ge1,Other,all,1,30847,261575444689,0,0,0,0.00
ge1,P2PK,active,7,669,31389917929,35,669,31389917929,0.42
ge1,P2PK,all,37123,37883,184838463322701,37174,37882,184838463322701,16.23
ge1,P2PK,inactive,10,10,28164000000,10,10,28164000000,0.00
ge1,P2PK,never_spent,37106,37204,184778909404772,37129,37203,184778909404772,15.80
ge1,P2PKH,active,59829,1316930,244360689122823,59841,1316930,244360689122823,507.37
ge1,P2PKH,all,272424,2479573,1077021719483701,70064,1472501,299992122283456,567.51
ge1,P2PKH,inactive,10090,153916,55483804005022,10091,153916,55483804005022,59.41
ge1,P2PKH,never_spent,202505,1008727,777177226355856,132,1655,147629155611,0.73
ge1,P2SH,active,89,480,436111038499,101,480,436111038499,0.21
ge1,P2SH,all,260,976,1503709786245,103,485,439460538499,0.21
ge1,P2SH,inactive,1,5,3349500000,2,5,3349500000,0.00
ge1,P2SH,never_spent,170,491,1064249247746,0,0,0,0.00
ge10,All,active,15839,558024,230881603521692,15845,527177,230620028077003,202.65
ge10,All,all,111423,964634,1207775308978671,55760,638265,468803779808890,246.27
ge10,All,inactive,2973,73031,53323158573126,2974,73031,53323158573126,28.10
ge10,All,never_spent,92611,333579,923570546883853,36941,38057,184860593158761,15.52
ge10,Other,active,1,30847,261575444689,0,0,0,0.00
ge10,Other,all,1,30847,261575444689,0,0,0,0.00
ge10,P2PK,active,3,510,30513690015,6,510,30513690015,0.22
ge10,P2PK,all,36939,37456,184791533566610,36945,37455,184791533566610,15.73
ge10,P2PK,inactive,8,8,27264000000,8,8,27264000000,0.00
ge10,P2PK,never_spent,36928,36938,184733755876595,36931,36937,184733755876595,15.51
ge10,P2PKH,active,15797,526464,230172455710028,15799,526464,230172455710028,202.56
ge10,P2PKH,all,74391,895935,1021269667478965,18813,600602,283591838065320,231.12
ge10,P2PKH,inactive,2964,73018,53292545073126,2965,73018,53292545073126,28.10
ge10,P2PKH,never_spent,55630,296453,737804666695811,49,1120,126837282166,0.46
ge10,P2SH,active,38,203,417058676960,44,203,417058676960,0.09
ge10,P2SH,all,92,396,1452532488407,46,208,420408176960,0.09
ge10,P2SH,inactive,1,5,3349500000,2,5,3349500000,0.00
ge10,P2SH,never_spent,53,188,1032124311447,0,0,0,0.00
ge100,All,active,2742,182575,192844928593921,2743,151728,192583353149232,58.25
ge100,All,all,14640,265944,859268500112291,3365,173290,240151206793613,66.53
ge100,All,inactive,582,21509,46249062072936,582,21509,46249062072936,8.26
ge100,All,never_spent,11316,61860,620174509445434,40,53,1318791571445,0.02
ge100,Other,active,1,30847,261575444689,0,0,0,0.00
ge100,Other,all,1,30847,261575444689,0,0,0,0.00
ge100,P2PK,active,1,505,19040468174,1,505,19040468174,0.21
ge100,P2PK,all,37,549,1240314149974,38,549,1240314149974,0.22
ge100,P2PK,never_spent,36,44,1221273681800,37,44,1221273681800,0.02
ge100,P2PKH,active,2732,151173,192254388432965,2733,151173,192254388432965,58.23
ge100,P2PKH,all,14575,234469,856536834136913,3320,172691,238600968395546,66.50
ge100,P2PKH,inactive,582,21509,46249062072936,582,21509,46249062072936,8.26
ge100,P2PKH,never_spent,11261,61787,618033383631012,5,9,97517889645,0.01
ge100,P2SH,active,8,50,309924248093,10,50,309924248093,0.02
ge100,P2SH,all,27,79,1229776380715,10,50,309924248093,0.02
ge100,P2SH,never_spent,19,29,919852132622,0,0,0,0.00
ge1000,All,active,322,59869,129236742924720,321,29022,128975167480031,11.13
ge1000,All,all,1526,79504,559784743755481,389,32106,161326473898669,12.31
ge1000,All,inactive,67,3083,32027989418638,67,3083,32027989418638,1.18
ge1000,All,never_spent,1137,16552,398520011412123,1,1,323317000000,0.00
ge1000,Other,active,1,30847,261575444689,0,0,0,0.00
ge1000,Other,all,1,30847,261575444689,0,0,0,0.00
ge1000,P2PK,all,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PK,never_spent,1,1,323317000000,1,1,323317000000,0.00
ge1000,P2PKH,active,320,29017,128867919874347,320,29017,128867919874347,11.13
ge1000,P2PKH,all,1519,48647,558492603705108,387,32100,160895909292985,12.31
ge1000,P2PKH,inactive,67,3083,32027989418638,67,3083,32027989418638,1.18
ge1000,P2PKH,never_spent,1132,16547,397596694412123,0,0,0,0.00
ge1000,P2SH,active,1,5,107247605684,1,5,107247605684,0.00
ge1000,P2SH,all,5,9,707247605684,1,5,107247605684,0.00
ge1000,P2SH,never_spent,4,4,600000000000,0,0,0,0.00
